,55_55,56_34,37_50,34_51,60_11,45_19,58_59,38_12,39_25,32_49,48_20,40_57,46_4,35_23,41_17,54_32,33_27,44_48,47_33,31_47,50_35,43_36,49_46,53_29,36_26,52_53
0,6.791695,8.566933,7.5841780000000005,9.740511000000001,7.157284,29.826595,7.488189,8.803677,15.213539,10.961904,33.927996,8.672097,14.154454999999999,8.124022,32.027779,12.891216999999997,8.267012,7.430955,11.26072,8.029189,10.610716,6.420331000000001,8.895697,11.3357,10.569975999999999,8.96967
1,,10.606782999999998,9.021097999999999,,9.094463999999999,35.543274999999994,,10.947607,17.086179,21.225124,38.276326,,16.295655,10.135202,38.893739000000004,,10.342762,,18.813699999999997,14.656868999999999,,,10.299027,12.871570000000002,13.042396,
2,,27.796822999999996,26.298558,,25.767944,38.281315,,28.381597,33.681449,41.429224000000005,41.218745999999996,,36.699425,30.149752,41.802099000000005,,30.185072,,35.74179,,,,26.714017,28.59276,31.563895999999996,
3,,32.211123,31.751117999999998,,36.303474,56.905314999999995,,,,,58.58592599999999,,41.009895,35.001732000000004,58.860248999999996,,,,,,,,,,,
4,,34.452743,34.089268,,39.314844,,,,,,,,43.254575,41.491332,62.573099,,,,,,,,,,,
5,,,,,,,,,,,,,,,66.049689,,,,,,,,,,,
