,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
307,10.26952,0,0,0,0,1
308,10.303049999999999,0,12,1,0,1
606,20.27985,1,11,1,0,1
678,22.69321,1,12,1,0,1
