,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
602,20.122135,0,21,0,0,0
627,20.977275,0,21,1,0,0
1128,37.735115,1,20,1,0,0
1200,40.144664999999996,1,21,1,0,0
