,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
602,20.122135,0,21,0,0,0
627,20.977275,0,21,1,0,0
673,22.518565,0,20,1,0,0
1128,37.735115,1,20,1,0,0
1200,40.144664999999996,1,21,1,0,0
1301,43.522855,1,20,1,0,0
3588,119.98700500000001,1,18,1,0,0
3618,120.99020500000002,1,17,1,0,0
