,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
435,14.554912999999999,0,12,0,0,0
466,15.606883,0,12,1,0,0
555,18.586883,0,11,1,0,0
976,32.665062999999996,1,11,1,0,0
1048,35.078162999999996,1,12,1,0,0
1149,38.454443,1,11,1,0,0
