,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
291,9.732471,0,15,0,0,0
322,10.782361,0,15,1,0,0
381,12.756390999999999,0,14,1,0,0
799,26.734941000000003,1,14,1,0,0
871,29.148561000000004,1,15,1,0,0
972,32.527361,1,14,1,0,0
1090,36.476651,1,15,1,0,0
1122,37.544810999999996,1,15,2,0,0
1177,39.381501,1,13,2,0,0
1202,40.216781,1,13,1,0,0
