,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
145,4.850329,0,29,0,0,0
170,5.70196,0,29,1,0,0
695,23.247632,1,28,1,0,0
767,25.654852,1,29,1,0,0
