,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
377,12.626729999999998,0,25,0,0,0
418,13.99683,0,25,1,0,0
1013,33.89653,1,24,1,0,0
1085,36.30188,1,25,1,0,0
1423,47.61408,1,25,1,0,0
1462,48.9187,1,25,2,0,0
