,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
467,15.634059,0,14,0,0,0
494,16.551639,0,14,1,0,0
990,33.152938999999996,1,13,1,0,0
1062,35.562089,1,14,1,0,0
