,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
357,11.953374,0,0,0,0,1
358,11.986704,0,9,1,0,1
657,21.988294,1,8,1,0,1
729,24.396644,1,9,1,0,1
