,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
364,12.18114,0,0,0,0,1
365,12.214480000000002,0,20,1,0,1
395,13.218700000000002,0,19,1,0,1
664,22.22081,1,19,1,0,1
736,24.63024,1,20,1,0,1
837,28.01087,1,19,1,0,1
