,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
356,11.908802000000001,0,19,0,0,0
378,12.655802000000001,0,19,1,0,0
878,29.381712,1,18,1,0,0
950,31.790642,1,19,1,0,0
1278,42.764902,1,19,1,0,0
1305,43.667602,1,19,2,0,0
