,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
453,15.151024000000001,0,0,0,0,1
454,15.184354,0,20,1,0,1
484,16.186424000000002,0,19,1,0,1
753,25.187834000000002,1,19,1,0,1
825,27.597794,1,20,1,0,1
926,30.973104,1,19,1,0,1
