,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
291,9.732471,0,15,0,0,0
322,10.782361,0,15,1,0,0
799,26.734941000000003,1,14,1,0,0
871,29.148561000000004,1,15,1,0,0
1090,36.476651,1,15,1,0,0
1122,37.544810999999996,1,15,2,0,0
