,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
242,8.103113,0,9,0,0,0
269,9.019763000000001,0,9,1,0,0
368,12.333362999999999,0,8,1,0,0
796,26.649713000000002,1,8,1,0,0
868,29.057263000000003,1,9,1,0,0
969,32.440053,1,8,1,0,0
