,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
464,15.506848999999999,0,27,0,0,0
487,16.289538999999998,0,27,1,0,0
527,17.627979,0,26,1,0,0
1031,34.490258999999995,1,26,1,0,0
1103,36.897279,1,27,1,0,0
1204,40.274759,1,26,1,0,0
1319,44.121189,1,27,1,0,0
1341,44.856449,1,27,2,0,0
1533,51.282509000000005,1,25,2,0,0
1555,52.018069,1,25,1,0,0
