,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
325,10.873592,0,11,1,0,0
714,23.871752,1,11,1,0,0
932,31.159342000000002,1,10,1,0,0
1186,39.658392,1,11,1,0,0
1233,41.229682,1,11,2,0,0
1334,44.611142,1,9,2,0,0
1365,45.646592,1,9,1,0,0
