,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
559,18.699403999999998,0,21,0,0,0
630,21.088074,0,21,1,0,0
1201,40.184184,1,20,1,0,0
1273,42.590874,1,21,1,0,0
