,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
364,12.186606999999999,0,14,0,0,0
428,14.342306999999998,0,14,1,0,0
976,32.678017000000004,1,13,1,0,0
1048,35.085387000000004,1,14,1,0,0
1233,41.276267000000004,1,14,1,0,0
1263,42.279767,1,14,2,0,0
