,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
289,9.665732,0,20,1,0,0
671,22.444242000000003,1,20,1,0,0
1411,47.190652,1,19,2,0,0
1728,57.789802,1,20,2,0,0
2392,79.996132,1,23,2,0,0
2641,88.32911200000001,1,22,2,0,0
