,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
230,7.696494,0,31,0,0,0
255,8.547294,0,31,1,0,0
696,23.300954,1,31,1,0,0
989,33.105404,1,31,1,0,0
1014,33.941714,1,31,2,0,0
