,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog
351,11.743728,0,0,0,0,1
352,11.777808,0,24,1,0,1
651,21.781818,1,23,1,0,1
723,24.192868,1,24,1,0,1
