,time,kukan
0,33.89653,
1,36.30188,"25.0,24.0"
2,39.68113,"25.0,24.0"
3,47.61408,"25.0,24.0"
4,48.9187,24.0
5,52.699740000000006,24.0
6,53.43505,"24.0,23.0"
