,time,kukan
0,22.444242000000003,
1,33.179192,"20.0,19.0"
2,47.190652,20.0
3,57.789802,
4,79.996132,
5,85.954942,
6,88.32911200000001,
7,89.70022200000001,22.0
8,94.418162,"22.0,21.0"
