,time,kukan
0,29.381712,
1,31.790642,"19.0,18.0"
2,35.170062,"19.0,18.0"
3,42.764902,"19.0,18.0"
4,43.667602,18.0
5,46.575282,18.0
6,47.242272,"18.0,17.0"
