,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
285,9.530272,0,8,0,0,0,-328,0,-331,1000,0
329,11.016852,0,8,1,0,0,-328,0,-331,1000,1
352,11.787071999999998,0,8,1,0,0,-328,0,-331,1000,0
411,13.760352000000001,0,7,1,0,0,-328,0,-331,1000,0
437,14.630631999999999,0,7,1,0,0,-328,0,-331,1000,1
519,17.371872,0,7,1,0,0,-328,0,-331,1000,0
937,31.349031999999998,1,7,1,0,0,-328,0,-331,1000,0
1110,37.13735199999999,1,8,1,0,0,-328,0,-331,1000,0
