,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
458,15.319344999999998,0,28,0,0,0,-1350,-1310,-1352,-1315,0
488,16.339245,0,28,1,0,0,-1350,-1310,-1352,-1315,1
517,17.309475,0,28,1,0,0,-1350,-1310,-1352,-1315,0
915,30.625835,1,28,1,0,0,-1350,-1310,-1352,-1315,0
1086,36.350455000000004,1,27,1,0,0,-1350,-1310,-1352,-1315,0
1117,37.386675000000004,1,27,1,0,0,-1350,-1310,-1352,-1315,1
1145,38.324495000000006,1,27,1,0,0,-1350,-1310,-1352,-1315,0
1309,43.811865000000004,1,28,1,0,0,-1350,-1310,-1352,-1315,0
1353,45.282785000000004,1,28,2,0,0,-1350,-1310,-1352,-1315,2
1399,46.821875000000006,1,28,2,0,0,-1350,-1310,-1352,-1315,0
1454,48.663885,1,26,2,0,0,-1350,-1310,-1352,-1315,0
1485,49.699205,1,26,1,0,0,-1350,-1310,-1352,-1315,1
1518,50.805285000000005,1,26,1,0,0,-1350,-1310,-1352,-1315,0
