,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
350,11.704703,0,11,0,0,0,-459,0,-464,1000,0
381,12.757273000000001,0,11,1,0,0,-459,0,-464,1000,1
478,16.001753,0,11,1,0,0,-459,0,-464,1000,0
886,29.647133,1,11,1,0,0,-459,0,-464,1000,0
1012,33.857183,1,10,1,0,0,-459,0,-464,1000,0
1044,34.927313,1,10,1,0,0,-459,0,-464,1000,1
1070,35.799073,1,10,1,0,0,-459,0,-464,1000,0
1200,40.147273,1,11,1,0,0,-459,0,-464,1000,0
1255,41.986373,1,11,2,0,0,-459,0,-464,1000,2
1281,42.854483,1,11,2,0,0,-459,0,-464,1000,0
1345,44.997533000000004,1,9,2,0,0,-459,0,-464,1000,0
1371,45.869083,1,9,1,0,0,-459,0,-464,1000,1
1391,46.537353,1,9,1,0,0,-459,0,-464,1000,0
