,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
218,7.290717000000001,0,32,0,0,0,-1497,-1447,-1494,1000,0
254,8.510183000000001,0,32,1,0,0,-1497,-1447,-1494,1000,1
283,9.479423,0,32,1,0,0,-1497,-1447,-1494,1000,0
716,23.956013,1,32,1,0,0,-1497,-1447,-1494,1000,0
893,29.876003,1,31,1,0,0,-1497,-1447,-1494,1000,0
917,30.676793,1,31,1,0,0,-1497,-1447,-1494,1000,1
935,31.279253,1,31,1,0,0,-1497,-1447,-1494,1000,0
1017,34.021303,1,32,1,0,0,-1497,-1447,-1494,1000,0
1043,34.891803,1,32,1,0,0,-1497,-1447,-1494,1000,1
1069,35.760583000000004,1,32,2,0,0,-1497,-1447,-1494,1000,2
1089,36.428933,1,32,2,0,0,-1497,-1447,-1494,1000,0
1136,38.000143,1,30,2,0,0,-1497,-1447,-1494,1000,0
1179,39.439183,1,30,1,0,0,-1497,-1447,-1494,1000,1
1207,40.374553000000006,1,30,1,0,0,-1497,-1447,-1494,1000,0
