,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
253,8.457870999999999,0,0,0,0,1,-1569,0,-1571,1000,0
254,8.491771,0,32,1,0,1,-1569,0,-1571,1000,0
553,18.491611,1,32,1,0,1,-1569,0,-1571,1000,0
