,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
419,14.004881999999998,0,28,0,0,0,-1350,-1310,-1352,-1315,0
455,15.224482,0,28,1,0,0,-1350,-1310,-1352,-1315,1
479,16.029632,0,28,1,0,0,-1350,-1310,-1352,-1315,0
859,28.734442,1,28,1,0,0,-1350,-1310,-1352,-1315,0
1020,34.116752,1,27,1,0,0,-1350,-1310,-1352,-1315,0
1055,35.288252,1,27,1,0,0,-1350,-1310,-1352,-1315,1
1086,36.325482,1,27,1,0,0,-1350,-1310,-1352,-1315,0
1172,39.208002,1,28,1,0,0,-1350,-1310,-1352,-1315,0
1202,40.212172,1,28,1,0,0,-1350,-1310,-1352,-1315,1
1224,40.948882,1,28,1,0,0,-1350,-1310,-1352,-1315,0
1273,42.587142,1,26,1,0,0,-1350,-1310,-1352,-1315,0
1349,45.128172,1,28,1,0,0,-1350,-1310,-1352,-1315,0
1369,45.797952,1,28,2,0,0,-1350,-1310,-1352,-1315,2
1395,46.669572,1,28,2,0,0,-1350,-1310,-1352,-1315,0
1423,47.609222,1,26,2,0,0,-1350,-1310,-1352,-1315,0
1447,48.412952000000004,1,26,1,0,0,-1350,-1310,-1352,-1315,1
1471,49.216412,1,26,1,0,0,-1350,-1310,-1352,-1315,0
