,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
370,12.372729,0,32,0,0,0,-1502,-1472,-1506,1000,0
417,13.959319,0,32,1,0,0,-1502,-1472,-1506,1000,1
513,17.167039,0,32,1,0,0,-1502,-1472,-1506,1000,0
990,33.125549,1,32,1,0,0,-1502,-1472,-1506,1000,0
1158,38.743418999999996,1,31,1,0,0,-1502,-1472,-1506,1000,0
1195,39.982308999999994,1,31,1,0,0,-1502,-1472,-1506,1000,1
1233,41.253529,1,31,1,0,0,-1502,-1472,-1506,1000,0
1332,44.565948999999996,1,32,1,0,0,-1502,-1472,-1506,1000,0
1366,45.704558999999996,1,32,2,0,0,-1502,-1472,-1506,1000,2
1393,46.607509,1,32,2,0,0,-1502,-1472,-1506,1000,0
1446,48.380249,1,30,2,0,0,-1502,-1472,-1506,1000,0
1478,49.451819,1,30,1,0,0,-1502,-1472,-1506,1000,1
1510,50.520429,1,30,1,0,0,-1502,-1472,-1506,1000,0
