,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
427,14.292658,0,8,0,0,0,-317,-287,-322,1000,0
480,16.065848,0,8,1,0,0,-317,-287,-322,1000,1
544,18.204128,0,8,1,0,0,-317,-287,-322,1000,0
637,21.317097999999998,0,7,1,0,0,-317,-287,-322,1000,0
675,22.585378,0,7,1,0,0,-317,-287,-322,1000,1
696,23.287098,0,7,1,0,0,-317,-287,-322,1000,0
1124,37.612778,1,7,1,0,0,-317,-287,-322,1000,0
1297,43.395148,1,8,1,0,0,-317,-287,-322,1000,0
