,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
298,9.977654000000001,0,0,0,0,1,-549,-579,-553,1000,0
299,10.011694,0,11,1,0,1,-549,-579,-553,1000,0
329,11.019204,0,12,1,0,1,-549,-579,-553,1000,0
598,20.025014,1,12,1,0,1,-549,-579,-553,1000,0
670,22.436584,1,11,1,0,1,-549,-579,-553,1000,0
771,25.815024,1,12,1,0,1,-549,-579,-553,1000,0
