,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
156,5.222779000000001,0,0,0,0,1,-1390,-1420,-1394,1000,0
157,5.256283,0,28,1,0,1,-1390,-1420,-1394,1000,0
187,6.261851999999999,0,29,1,0,1,-1390,-1420,-1394,1000,0
456,15.263570000000001,1,29,1,0,1,-1390,-1420,-1394,1000,0
528,17.67359,1,28,1,0,1,-1390,-1420,-1394,1000,0
629,21.05284,1,29,1,0,1,-1390,-1420,-1394,1000,0
