,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
159,5.315562,0,21,0,0,0,-1001,0,-1000,1000,0
182,6.1010670000000005,0,21,1,0,0,-1001,0,-1000,1000,1
203,6.805199,0,21,1,0,0,-1001,0,-1000,1000,0
533,17.854841,0,20,1,0,0,-1001,0,-1000,1000,0
616,20.630381,1,20,1,0,0,-1001,0,-1000,1000,0
688,23.036461000000003,1,21,1,0,0,-1001,0,-1000,1000,0
753,25.209731,1,20,1,0,0,-1001,0,-1000,1000,0
801,26.812981,1,20,1,0,0,-1001,0,-1000,1000,1
837,28.016841000000003,1,20,1,0,0,-1001,0,-1000,1000,0
