,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
332,11.12015,0,20,0,0,0,-911,0,-916,1000,0
362,12.1409,0,20,1,0,0,-911,0,-916,1000,1
387,12.976430000000002,0,20,1,0,0,-911,0,-916,1000,0
833,27.897289999999998,1,20,1,0,0,-911,0,-916,1000,0
969,32.44912,1,19,1,0,0,-911,0,-916,1000,0
999,33.45372,1,19,1,0,0,-911,0,-916,1000,1
1030,34.48908,1,19,1,0,0,-911,0,-916,1000,0
1249,41.82113,1,20,1,0,0,-911,0,-916,1000,0
1283,42.95818,1,20,2,0,0,-911,0,-916,1000,2
1310,43.86105,1,20,2,0,0,-911,0,-916,1000,0
1360,45.53169,1,18,2,0,0,-911,0,-916,1000,0
1388,46.46965,1,18,1,0,0,-911,0,-916,1000,1
1450,48.54531,1,18,1,0,0,-911,0,-916,1000,0
