,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
399,13.352979000000001,0,0,0,0,1,-618,-588,-617,1000,0
400,13.386309,0,13,1,0,1,-618,-588,-617,1000,0
698,23.364289,1,13,1,0,1,-618,-588,-617,1000,0
