,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
527,17.624296,0,20,0,0,0,-950,-910,-950,-920,0
565,18.910235999999998,0,20,1,0,0,-950,-910,-950,-920,1
597,19.982186,0,20,1,0,0,-950,-910,-950,-920,0
1015,33.969395999999996,1,20,1,0,0,-950,-910,-950,-920,0
1171,39.189766,1,19,1,0,0,-950,-910,-950,-920,0
1197,40.058395999999995,1,19,1,0,0,-950,-910,-950,-920,1
1217,40.726976,1,19,1,0,0,-950,-910,-950,-920,0
1418,47.448446,1,20,1,0,0,-950,-910,-950,-920,0
1460,48.852005999999996,1,20,2,0,0,-950,-910,-950,-920,2
1502,50.256656,1,20,2,0,0,-950,-910,-950,-920,0
1577,52.767475999999995,1,18,2,0,0,-950,-910,-950,-920,0
1603,53.635065999999995,1,18,1,0,0,-950,-910,-950,-920,1
1630,54.538185999999996,1,18,1,0,0,-950,-910,-950,-920,0
