,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
227,7.595122,0,28,1,0,0,-1350,-1310,-1352,-1315,0
574,19.187462,1,28,1,0,0,-1350,-1310,-1352,-1315,0
807,26.979412,1,27,1,0,0,-1350,-1310,-1352,-1315,0
1257,42.034742,1,28,1,0,0,-1350,-1310,-1352,-1315,0
1305,43.640522000000004,1,28,2,0,0,-1350,-1310,-1352,-1315,2
1376,46.013632,1,28,2,0,0,-1350,-1310,-1352,-1315,0
1420,47.487482,1,26,2,0,0,-1350,-1310,-1352,-1315,0
1455,48.656622,1,26,1,0,0,-1350,-1310,-1352,-1315,1
1552,51.901252,1,26,1,0,0,-1350,-1310,-1352,-1315,0
