,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
384,12.839675999999999,0,4,0,0,0,-127,-97,-126,1000,0
425,14.226106,0,4,1,0,0,-127,-97,-126,1000,1
457,15.296505999999999,0,4,1,0,0,-127,-97,-126,1000,0
989,33.095886,1,4,1,0,0,-127,-97,-126,1000,0
1199,40.123756,1,3,1,0,0,-127,-97,-126,1000,0
1234,41.294126000000006,1,3,1,0,0,-127,-97,-126,1000,1
1262,42.229036,1,3,1,0,0,-127,-97,-126,1000,0
