,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
267,8.929215,0,4,0,0,0,-118,0,-118,1000,0
527,17.630495,0,4,1,0,0,-118,0,-118,1000,1
566,18.937145,0,4,1,0,0,-118,0,-118,1000,0
629,21.044855000000002,0,3,1,0,0,-118,0,-118,1000,0
665,22.247895,0,3,1,0,0,-118,0,-118,1000,1
694,23.216525,0,3,1,0,0,-118,0,-118,1000,0
1108,37.054395,1,3,1,0,0,-118,0,-118,1000,0
1281,42.841345,1,4,1,0,0,-118,0,-118,1000,0
